Name,Type,Stack,Floatable?,Acquisition,Rating
Crocodile Toy,Trinket,40,No,Obtained during Hallowed Nights,
Crow,Mob,—,Yes,Caught with a Bird Trap,
Crow Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Crumpled Package,Misc. Item,—,No,Fishing at the Lake in the Oasis,
Cubic Zirkonia Ball,Trinket,40,Yes,Obtained during Hallowed Nights,
Cut Grass,Crafting Item,40,Yes,Picking Grass and dropped by Grass Gekko,
Cut Reeds,Crafting Item,40,Yes,Picking Reeds,
Cut Stone,Crafting Item,10,No,Crafting,
Dangling Depth Dweller Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Dapper Vest,Dress Item,—,Yes,Crafting,
Dark Petals,Food,40,Yes,Picking Evil Flowers,
Dark Sword,Melee Weapon/Magic Item,—,Yes,Crafting and dropped by level 3 Shadow Pieces,
Deciduous Turf,Turf,10,Yes,Digging up the ground in a Deciduous Forest with a Pitchfork,
Deconstruction Staff,Staff,—,Yes,Crafting,
Deer Antler,Misc. Item,—,Yes,Dropped when a horned No-Eyed Deer charges into certain objects,
Deerclops Eyeball,Food,10,Yes,Dropped by Deerclops,
Desert Goggles,Hat/Dress Item,—,Yes,Crafting,
Desert Stone,Crafting Item,10,No,Dropped by Antlion (when trading and upon death),
Dessicated Tentacle,Trinket,40,Yes,Digging up Graves,
Down Feather,Crafting Item,10,Yes,Dropped by Moose/Goose and Mosling,
Dragon Fruit,Food,20,Yes,Farming,
Dragon Fruit Seeds,Crop Seeds/Food/Plantable,20,Yes,Feeding a bird in a Bird Cage,
Dragonpie,Crock Pot Recipe,20,Yes,Crock Pot Food,
Dram of Psychic Fortitude,Misc. Item,20,Yes,Craft it during Hallowed Nights,
Drumstick,Food,40,Yes,"Dropped by Gobbler, Pengull, Buzzard, Moose/Goose and Mosling",
Durian,Food,20,Yes,Farming,
Durian Seeds,Crop Seeds/Food/Plantable,40,Yes,Feeding a bird in a Bird Cage,
Eel,Food,40,Yes,Fishing,
Egg,Food,40,Yes,Feeding a bird in a Bird Cage and laid by Pengulls,
Eggplant,Food,20,Yes,Farming,
Eggplant Seeds,Crop Seeds/Food/Plantable,40,Yes,Feeding a bird in a Bird Cage,
Eight Treasure Mud Pie,Food,40,Yes,Craft it during Year of the Pig King,
Electric Dart,Weapon,20,Yes,Crafting,
Electrical Doodad,Crafting Item,10,Yes,Crafting,
Electric Milk,Food,40,Yes,Dropped by Volt Goat,
Empty Elixir,Trinket,40,Yes,Obtained during Hallowed Nights,
Eternal Fruitcake,Food/Winter Ornament,40,Yes,Dropped by Mobs during Winter's Feast,
Extra Smelly Durian,Food,40,Yes,Cooking,
Eye Bone,Misc. Item,—,No,Found naturally on the map and spawns Chester,
Eyebrella,Hat/Dress Item,—,Yes,Crafting,
Fake Kazoo,Trinket,40,Yes,Digging up Graves,
Fancy Spiralled Tubers,Crock Pot Recipe,40,Yes,Crock Pot Food,
Fashion Goggles,Hat/Dress Item,—,Yes,Crafting,
Fashion Melon,Hat/Dress Item,—,Yes,Crafting,
Faux Fangs,Trinket,40,Yes,Obtained during Hallowed Nights,
Feather Hat,Hat/Dress Item,—,Yes,Crafting,
Feather Pencil,Tool,—,Yes,Crafting,
Festive Bauble,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 2,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 3,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 4,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 5,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 6,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 7,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 8,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 9,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 10,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 11,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 12,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 13,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 14,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 15,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 16,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 17,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 18,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 19,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Bauble 20,Winter Ornament,40,Yes,Dropped by most Mobs and fishing at the Oasis Lake during Winter's Feast,
Festive Light,Winter Ornament,40,Yes,"Dropped by Deerclops, and fishing at the Oasis Lake during Winter's Feast",
Festive Light 2,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 3,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 4,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 5,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 6,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 7,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Festive Light 8,Winter Ornament,40,Yes,Fishing at the Oasis Lake during Winter's Feast,
Fire Dart,Weapon,20,Yes,Crafting,
Fire Staff,Staff,—,Yes,Crafting,
Fireflies,Mob,40,No,Caught with a Bug Net,
Freshwater Fish,Food,40,No,Fishing and dropped by Merms,
Fish Cordon Bleu,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Fish Heads on a Stick,Food,40,Yes,Craft it during Year of the Pig King,
Fish Tacos,Crock Pot Recipe,40,Yes,Crock Pot Food,
Fishing Rod,Tool/Weapon/Survival Item,—,Yes,Crafting,
Fishsticks,Crock Pot Recipe,40,Yes,Crock Pot Food,
Fist Full of Jam,Crock Pot Recipe,40,Yes,Crock Pot Food,
Flask of Sanguine Mixture,Healing Item,20,Yes,Craft it during Hallowed Nights,
Fleshy Bulb,Plantable,10,Yes,Dropped by Lureplants,
Flint,Crafting Item,40,No,"Found on the ground, mining Boulders, Stalagmites and Petrified Trees, digging up Burrows, may fall from cave roof during Earthquakes, and dropped by Meteors and Rock Lobster",
Floral Shirt,Dress Item,—,Yes,Crafting,
Flower Salad,Crock Pot Recipe,40,Yes,Crock Pot Food,
Foliage,Food,40,Yes,Picking a Fern,
Football Helmet,Hat/Armor Item,—,Yes,Crafting,
Forest Turf,Turf,10,Yes,Digging up the ground in forest areas with a Pitchfork,
Fossil Fragment,Misc. Item,—,Yes,Mining Stalagmites or Spilagmites and dropped by Reanimated Skeleton,
Frayed Yarn,Trinket,40,Yes,Digging up Graves,
Frazzled Wires,Trinket,40,Yes,Digging up Graves,
Fresh Fruit Crepes,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Fried Drumstick,Food,40,Yes,Cooking,
Fried Tallbird Egg,Food,20,Yes,Cooking,
Frog Legs,Food,40,Yes,"Dropped by Frog, Merm and Toadstool",
Froggle Bunwich,Crock Pot Recipe,40,Yes,Crock Pot Food,
Fruit Medley,Crock Pot Recipe,40,Yes,Crock Pot Food,
Fungal Turf (Blue),Turf,10,Yes,Found underground by digging up the ground in fungal areas with a Pitchfork,
Fungal Turf (Red),Turf,10,Yes,Found underground by digging up the ground in fungal areas with a Pitchfork,
Fungal Turf (Green),Turf,10,Yes,Found underground by digging up the ground in fungal areas with a Pitchfork,
Fur Roll,Sleeping Resource/Survival Item,10,Yes,Crafting,
Fur Tuft,Crafting Item,40,Yes,Periodically produced by Bearger,
Garland,Hat/Dress Item/,—,Yes,Crafting,
Garlic,Food,40,Yes,Farming,
Garlic Powder,Character-specific Item,40,Yes,Crafting,
Gears,Crafting Item,40,Yes,Digging up Graves and dropped by Clockwork Monsters,
Ghost Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Ghost Pop,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Gift,Survival Item,—,No,Storing items in a Gift Wrap,
Gift Wrap,Survival Item,20,No,Craft it during Winter's Feast,
Gingerbread Cookie,Food/Winter Ornament,40,Yes,Dropped by Mobs during Winter's Feast,
Glommer's Flower,Misc. Item,—,Yes,Found on Glommer's Statue and turns Glommer into a follower,
Glommer's Goop,Food,—,No,Dropped by Glommer (periodically and upon death),
Glommer's Wings,Misc. Item,—,Yes,Dropped by Glommer,
Glossamer Saddle,Tool,—,Yes,Crafting,
Glow Berry,Food,10,Yes,Dropped by Depths Worm,
Glow Berry Mousse,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Gnome,Trinket,40,Yes,Digging up Graves,
Gnomette,Trinket,40,Yes,Digging up Graves,
Golden Belt,Misc. Item],40,Yes,Dropped by Pig during Year of the Pig King,
Gold Nugget,Crafting Item,20,Yes,"Mining Gold Veins and Stalagmites, digging up Burrows, found on the ground in Graveyards, may fall from cave roof during Earthquakes, and giving certain items to the Pig King",
Goop Canister,Trinket,40,Yes,Obtained during Hallowed Nights,
Gord's Knot,Trinket,40,Yes,Digging up Graves,
Grass Suit,Armor,—,Yes,Crafting,
Grass Tuft,Plantable,10,Yes,Dug up by Shovel,
Grass Turf,Turf,10,Yes,Digging up the ground in grassy areas with a Pitchfork,
Green Cap,Food,40,Yes,"Dropped by Toadstool, picking a Green Mushroom or chopping down Green Mushtrees",
Green Funcap,Hat/Dress Item,—,Yes,Crafting,
Green Gem,Crafting Item,40,Yes,Mainly found by mining Ancient Statues in the Ruins,
Green Moonlens,Misc. Item,—,Yes,Placing a Green Gem in a Cratered Moonrock,
Green Spore,Plantable,20,Yes,Caught with a Bug Net,
Grilled Watermelon,Food,40,Yes,Cooking,
Grim Galette,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Guacamole,Crock Pot Recipe,40,Yes,Crock Pot Food,
Guano,Fertilizer,20,Yes,Periodically produced by Batilisks,
Guano Turf,Turf,10,Yes,Found underground by digging up the ground in guano areas with a Pitchfork,
Guardian's Horn,Food,—,Yes,Dropped by Ancient Guardian,
Gummy Spider,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Gunpowder,Explosive Weapon,40,No,Crafting,
Ham Bat,Weapon,—,Yes,Crafting,
Hammer,Tool/Weapon,—,Yes,Crafting,
Hardened Rubber Bung,Trinket,40,Yes,Digging up Graves,
Hatching Tallbird Egg,Tallbird Young/Food,—,Yes,Place a Tallbird Egg near a fire for a short time,
Hay Wall,Wall,20,Yes,Crafting,
Healing Salve,Healing Item/Survival Item,40,Yes,Crafting,
Heavenly Eggnog,Food,40,Yes,Dropped by Mobs during Winter's Feast,
Hibearnation Vest,Dress Item,—,Yes,Crafting,
Honey,Food/Crafting Item,40,Yes,"Dropped by Bees, Killer Bees and Bee Queen, destroying Bee Hives, Killer Bee Hives and Gigantic Beehives and harvested from Bee Boxes",
Honeycomb,Crafting Item,20,Yes,"Dropped by Bee Queen and destroying Bee Hives, Killer Bee Hives and Gigantic Beehives",
Honey Crystals,Character-specific Item,40,Yes,Crafting,
Honey Ham,Crock Pot Recipe,40,Yes,Crock Pot Food,
Honey Nuggets,Crock Pot Recipe,40,Yes,Crock Pot Food,
Honey Poultice,Healing Item/Survival Item,40,Yes,Crafting,
Hot Cocoa,Food,40,Yes,Dropped by Mobs during Winter's Feast,
Hot Dragon Chili Salad,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Hot Pumpkin,Food,40,Yes,Cooking,
Hound's Tooth,Crafting Item,40,Yes,"Dropped by Hounds, Hound Mounds and Vargs",
Houndius Shootius,Deployable Structure,40,No,Crafting,
Ice,Food,40,No,Mining Mini Glaciers,
Ice Cream,Crock Pot Recipe,40,Yes,Crock Pot Food,
Ice Cube,Hat/Dress Item,—,Yes,Crafting,
Ice Staff,Staff,—,Yes,Crafting,
Insulated Pack,Bag/Survival Item,—,Yes,Crafting,
Iridescent Gem,Misc. Item,40,Yes,Destroying a Moon Caller's Staff using a Deconstruction Staff,
Jellybeans,Crock Pot Recipe,40,Yes,Crock Pot Food,
Jelly Worm,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Jerky,Food,20,Yes,Hang Meat on a Drying Rack,
Jet Feather,Crafting Item,40,Yes,"Dropped by Crow, Pengull and Buzzard",
Juicy Berries,Food,40,Yes,Picking Juicy Berry Bushes,
Juicy Berry Bush,Plantable,10,Yes,Dug up by Shovel,
Kabobs,Crock Pot Recipe,40,Yes,Crock Pot Food,
Killer Bee,Mob,20,Yes,Caught with a Bug Net,
Koalefant Trunk,Food/Crafting Item,20,Yes,Dropped by Koalefant,
Koalefant Trunk Steak,Food,20,Yes,Cooking,
Krampus Sack,Bag,—,Yes,Dropped by Krampus,
Lantern,Light Source,—,Yes,Crafting,
Lavae Egg,Dragonfly Young,—,No,Dropped by Dragonfly,
Lavae Tooth,Misc. Item,—,Yes,Place a Lavae Egg near a fire for 2 days,
Lava Pepper,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Leafy Meat,Food,20,Yes,Harvesting a Lureplant and dropped by Grass Gekko,
Leaky Teacup,Trinket,40,Yes,Digging up Graves,
Lesser Glow Berry,Food,10,Yes,Picking Mysterious Plants and periodically produced by Forest Reanimated Skeleton,
Lichen,Food,40,Yes,Harvesting Cave Lichen,
Life Giving Amulet,Amulet,20,No,Crafting and Digging up Graves,
Light Bulb,Crafting Item/Light Source/Food,40,Yes,Picking a Light Flower and dropped by Slurper,
Living Log,Crafting Item,20,Yes,"Dropped by Treeguard, Totally Normal Tree or Poison Birchnut Tree",
Log,Crafting Item,20,Yes,"Chopping down trees, Mushtrees, or Cave Banana Trees, digging up tree stumps",
Log Suit,Armor,—,Yes,Crafting,
Lone Glove,Trinket,40,Yes,Obtained during Hallowed Nights,
Lucky Beast Body,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Beast Head,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Beast Tail,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Cat Jar,Trinket,40,Yes,Digging up Graves,
Lucky Fan,Weapon,—,Yes,Craft it during Year of the Gobbler,
Lucky Gold Nugget,Crafting Item,20,No,"Obtained during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Whistle,Misc. Item,—,Yes,Craft it during Year of the Varg,
Lucy the Axe,Character-specific Item/Tool/Weapon,—,Yes,Play as Woodie,
Luxury Axe,Tool/Weapon,—,Yes,Crafting,
Luxury Fan,Survival item,—,Yes,Crafting,
Lying Robot,Trinket,40,Yes,Digging up Graves,
Magiluminescence,Amulet,—,Yes,Crafting,
Magnificent Adornment (Ancient Fuelweaver),Winter Ornament,40,Yes,Dropped by Ancient Fuelweaver during Winter's Feast,
Magnificent Adornment (Antlion),Winter Ornament,40,Yes,Dropped by Antlion during Winter's Feast,
Magnificent Adornment (Blue Gem Deer),Winter Ornament,40,Yes,Dropped by blue Gem Deer during Winter's Feast,
Magnificent Adornment (Bearger),Winter Ornament,40,Yes,Dropped by Bearger during Winter's Feast,
Magnificent Adornment (Bee Queen),Winter Ornament,40,Yes,Dropped by Bee Queen during Winter's Feast,
Magnificent Adornment (Deerclops),Winter Ornament,40,Yes,Dropped by Deerclops during Winter's Feast,
Magnificent Adornment (Dragonfly),Winter Ornament,40,Yes,Dropped by Dragonfly during Winter's Feast,
Magnificent Adornment (Dragonfly),Winter Ornament,40,Yes,Dropped by Dragonfly during Winter's Feast,
Magnificent Adornment (Klaus),Winter Ornament,40,Yes,Dropped by Klaus during Winter's Feast,
Magnificent Adornment (Krampus),Winter Ornament,40,Yes,Dropped by Krampus during Winter's Feast,
Magnificent Adornment (Moose/Goose),Winter Ornament,40,Yes,Dropped by Moose/Goose during Winter's Feast,
Magnificent Adornment (Red Gem Deer),Winter Ornament,40,Yes,Dropped by red Gem Deer during Winter's Feast,
Magnificent Adornment (Toadstool),Winter Ornament,40,Yes,Dropped by Toadstool during Winter's Feast,
Mandrake,Mob/Food,40,Yes,"Picking a Mandrake at Day, dropped by deceased Mandrakes.",
Mandrake Soup,Crock Pot Recipe,40,Yes,Crock Pot Food,
Manure,Fertilizer,20,Yes,Periodically produced by Beefalos and Koalefants. Can be made by feeding vegetables to Pigs and angrying Splumonkeys. Can also by destroying Splumonkey Pods and Pig Torches,
Map Scroll,Misc. Item,—,Yes,Crafting,
Marble,Crafting Item,40,No,"Mining Marble Pillars, Marble Trees, Harp Statues, Maxwell Statues, Glommer's Statue, Marble Sculptures and Marble Statues, may fall from cave roof during Earthquakes, or appears when a Touch Stone breaks",
Marble Bean,Plantable,40,No,Crafting,
Marble Suit,Armor,—,Yes,Crafting,
Marsh Turf,Turf,10,Yes,Digging up ground in a Marsh with a Pitchfork,
Meat,Food,20,Yes,"Dropped by large mobs such as Pigs, Beefalo, etc.",
Meatballs,Crock Pot Recipe,40,Yes,Crock Pot Food,
Meaty Stew,Crock Pot Recipe,40,Yes,Crock Pot Food,
Melonsicle,Crock Pot Recipe,40,Yes,Crock Pot Food,
Melty Marbles,Trinket,40,Yes,Digging up Graves,
Miner Hat,Hat/Light Source,—,Yes,Crafting,
Mini Sign,Structure,10,Yes,Crafting,
Mismatched Buttons,Trinket,40,Yes,Digging up Graves,
Moggles,Hat,—,Yes,Crafting,
Moleworm,Mob,—,No,Catch with a Hammer,
Monkey Paw,Trinket,40,Yes,Obtained during Hallowed Nights,
Monster Jerky,Food,20,Yes,Hang Monster Meat on a Drying Rack,
Monster Lasagna,Crock Pot Recipe,40,Yes,Crock Pot Food,
